usuario_id;ip_usuario;fecha_envio;genero;edad;provincia;ciudad;tipo_colegio;colegio_actua;ubicacion_estudios;tipo_institucion;factores_carrera;perspectivas_carrera;interes_ia;interes_cc;interes_sw;interes_ti;interes_et;interes_ii;interes_ar;conocimiento_ia;conocimiento_cc;conocimiento_sw;conocimiento_ti;conocimiento_et;conocimiento_ii;conocimiento_ar;seleccion_carrera;otra_carrera
8902075a25e34b381eebbe46f02f37d5;186.42.120.206;14/03/2024 09:07;Femenino;16 o menos;Tungurahua;Ambato;Fiscal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
e6c9cbb81c8c0e0f92af3566195037f5;181.196.104.10;14/03/2024 09:08;Femenino;16 o menos;Tungurahua;Ambato;Fiscal;Mario Cobo Baraona;En un Instituto Militar y/o Policial;Exterior (fuera del país);Habilidades e interés personal en el tema,Prestigio de la institución educativa;Neutral;No estoy interesado;Poco interesado;Poco interesado;Neutral;Neutral;Neutral;Estoy interesado;NULL;Tengo conocimientos básicos;Conozco algo;He oido del tema;Conozco algo;He oido del tema;Conozco algo;Ninguna;militar
d36ea9100c38a80b31338e5fd7e595c8;186.42.120.206;14/03/2024 09:08;Masculino;16 o menos;Tungurahua;Ambato;NULL;Mario Cobo Barona;No tengo planes de seguir estudiando;Exterior (fuera del país);Flexibilidad y posibilidad de trabajo remoto;De acuerdo;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Tengo conocimientos básicos;Tengo conocimientos básicos;Tengo conocimientos básicos;Tengo conocimientos básicos;Tengo un conocimiento Solido;Tengo un conocimiento Solido;Tengo un conocimiento Solido;Electrónica y Telecomunicaciones;NULL
4b8a80fc859a371192ce6c50adc5a2d2;186.42.120.206;14/03/2024 09:09;Femenino;16 o menos;Tungurahua;Ambato;Fiscal;UNIDAD EDUCATIVA MARIO COBO BARONA;En una Universidad y/o Escuela Politécnica;Privada;Recomendación de familiares o amigos;De acuerdo;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No tengo conocimiento;He oido del tema;Conozco algo;Tengo conocimientos básicos;Conozco algo;No tengo conocimiento;No tengo conocimiento;Ninguna;NO
f8123a558f2fafa809068519f4947437;186.42.120.206;14/03/2024 09:09;Masculino;16 o menos;Tungurahua;Ambato;NULL;Unidad Educativa Mario Cobo Barona ;En un Instituto Militar y/o Policial;Privada;Habilidades e interés personal en el tema;Totalmente de acuerdo;Neutral;Neutral;Neutral;Poco interesado;Estoy interesado;Neutral;Estoy interesado;Conozco algo;He oido del tema;Conozco algo;Conozco algo;Conozco algo;He oido del tema;He oido del tema;Ciencia de Datos e Inteligencia Artificial;NULL
14d4364b3fa31bad0cde6459540c7b40;181.196.104.10;14/03/2024 09:10;Masculino;16 o menos;Tungurahua;Ambato;Fiscal;Mario Cobo Barona;En una Universidad y/o Escuela Politécnica;Pública;Habilidades e interés personal en el tema;Totalmente de acuerdo;Neutral;Poco interesado;Estoy muy interesado;Poco interesado;No estoy interesado;Neutral;Poco interesado;Conozco algo;Conozco algo;Tengo conocimientos básicos;Conozco algo;He oido del tema;Conozco algo;No tengo conocimiento;Software;NULL
6d67cfc985be30c849135bfb81ee9500;186.42.120.206;14/03/2024 09:10;Masculino;16 o menos;Tungurahua;Ambato;Fiscal;MARIO COBO BARONA;En una Universidad y/o Escuela Politécnica;Pública;Oportunidades laborales y demanda en el mercado;De acuerdo;Neutral;Estoy interesado;Estoy muy interesado;Neutral;No estoy interesado;No estoy interesado;Neutral;No tengo conocimiento;He oido del tema;Conozco algo;No tengo conocimiento;He oido del tema;No tengo conocimiento;Conozco algo;Software;NOSE
2295738b34a4b3f47816eaa5c988f761;181.196.104.10;14/03/2024 09:10;Femenino;16 o menos;Tungurahua;Ambato;Fiscal;Mario Cobo Barona;En un Instituto Militar y/o Policial;Pública;Prestigio de la institución educativa;De acuerdo;No estoy interesado;Neutral;Poco interesado;Neutral;Neutral;Poco interesado;Estoy interesado;He oido del tema;Conozco algo;He oido del tema;Conozco algo;He oido del tema;Conozco algo;Tengo conocimientos básicos;Ciencia de Datos e Inteligencia Artificial;NULL
f033dd510270996cd55aa57403a5ae98;186.42.120.206;14/03/2024 09:12;Femenino;16 o menos;Tungurahua;Ambato;Fiscal;MARIO COBO BARONA;Aún no lo he decidido;Privada;Habilidades e interés personal en el tema;De acuerdo;Estoy muy interesado;Estoy interesado;Neutral;Estoy muy interesado;Estoy interesado;Neutral;Estoy muy interesado;Tengo conocimientos básicos;He oido del tema;Tengo un conocimiento Solido;Conozco algo;Tengo un conocimiento Solido;Tengo conocimientos básicos;NULL;Automatización y Robótica,Ciencias de la Computación,Software,Electrónica y Telecomunicaciones;NULL
640c443a857f4355238808e6d6eed67a;181.196.104.10;14/03/2024 09:12;Masculino;16 o menos;Tungurahua;Ambato;Fiscal;Mario Cobo Barona;En un Instituto Militar y/o Policial;Pública;Habilidades e interés personal en el tema;Neutral;Neutral;Poco interesado;Neutral;Poco interesado;Neutral;Poco interesado;Estoy interesado;Conozco algo;Conozco algo;Conozco algo;He oido del tema;Conozco algo;Tengo conocimientos básicos;Conozco algo;Ninguna;NULL
