genero;edad;provincia;ciudad;tipo_colegio;colegio_actua;ubicacion_estudios;tipo_institucion;factor_carrera;perspectivas_carrera;interes_ia;interes_cc;interes_sw;interes_ti;interes_et;interes_ii;interes_ar;conocimiento_ia;conocimiento_cc;conocimiento_sw;conocimiento_ti;conocimiento_et;conocimiento_ii;conocimiento_ar;carrera
MASCULINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;EXTERIOR (FUERA DEL PAÍS);FLEXIBILIDAD Y POSIBILIDAD DE TRABAJO REMOTO;TOTALMENTE DE ACUERDO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;NEUTRAL;NEUTRAL;ESTOY MUY INTERESADO;POCO INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;TENGO UN CONOCIMIENTO SOLIDO;TENGO UN CONOCIMIENTO SOLIDO;TENGO UN CONOCIMIENTO SOLIDO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;FISIOTERAPIA
MASCULINO;17;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;RECOMENDACIÓN DE FAMILIARES O AMIGOS;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL
MASCULINO;17;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;FLEXIBILIDAD Y POSIBILIDAD DE TRABAJO REMOTO;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL
MASCULINO;17;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;RECOMENDACIÓN DE FAMILIARES O AMIGOS;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;CIENCIAS DE LA COMPUTACIÓN
MASCULINO;17;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;FLEXIBILIDAD Y POSIBILIDAD DE TRABAJO REMOTO;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;CIENCIAS DE LA COMPUTACIÓN
MASCULINO;17;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;RECOMENDACIÓN DE FAMILIARES O AMIGOS;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;AUTOMATIZACIÓN Y ROBÓTICA
MASCULINO;17;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;FLEXIBILIDAD Y POSIBILIDAD DE TRABAJO REMOTO;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;AUTOMATIZACIÓN Y ROBÓTICA
MASCULINO;17;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;RECOMENDACIÓN DE FAMILIARES O AMIGOS;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;INGENIERÍA INDUSTRIAL
MASCULINO;17;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;FLEXIBILIDAD Y POSIBILIDAD DE TRABAJO REMOTO;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;INGENIERÍA INDUSTRIAL
MASCULINO;17;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;PÚBLICA;RECOMENDACIÓN DE FAMILIARES O AMIGOS;NEUTRAL;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;TENGO CONOCIMIENTOS BÁSICOS;ELECTRÓNICA Y TELECOMUNICACIONES
